state,dem_margin
AK,-13.14
AL,-30.59
AR,-30.64
AZ,-5.53
CA,20.14
CO,10.99
CT,14.51
DE,14.74
FL,-13.1
GA,-2.19
HI,23.1
IA,-13.26
ID,-36.5
IL,10.98
IN,-18.97
KS,-16.12
KY,-30.55
LA,-22.01
MA,25.34
MD,28.75
ME,6.94
MI,-1.41
MN,4.26
MO,-18.42
MS,-22.89
MT,-19.93
NC,-3.22
ND,-36.76
NE,-20.57
NH,2.79
NJ,5.91
NM,6.0
NV,-3.1
NY,12.52
OH,-11.21
OK,-34.26
OR,14.4
PA,-1.71
RI,13.85
SC,-17.87
SD,-29.19
TN,-29.72
TX,-13.69
UT,-21.59
VA,5.81
VT,31.77
WA,18.34
WI,-0.86
WV,-41.87
WY,-46.22
